MovieName
Joker
Jojo Rabbit
The King
Parasite
Marriage Story
1917
Midsommar
Ready or Not
Little Joe
Dolemite Is My Name
The Art of Racing in the Rain
Zombieland: Double Tap
The Perfection
The Laundromat
John Wick: Chapter 3 - Parabellum
Us
Cold Pursuit
Fast & Furious Presents: Hobbs & Shaw
It Chapter Two
Freaks
The Irishman
Black and Blue
Captive State
Once Upon a Time... in Hollywood
A Beautiful Day in the Neighborhood
Rocketman
Jexi
In the Shadow of the Moon
3 from Hell
Eli
Pokémon Detective Pikachu
Aniara
Climax
Ad Astra
Alita: Battle Angel
Avengers: Endgame
Under the Silver Lake
Knives Out
Hustlers
Ford v Ferrari
Crawl
Doctor Sleep
Brightburn
Long Shot
47 Meters Down: Uncaged
Anna
Hellboy
Greta
The Beach Bum
Countdown
