,PID,PID_Movie,MovieName,Writer
113,114,1,Brooklyn (2015) ,Colm Tóibín
114,115,2,The Big Short (2015) ,Charles Randolph
115,116,2,The Big Short (2015) ,Adam McKay
116,117,2,The Big Short (2015) ,1 more credit
117,118,3,Mad Max: Fury Road (2015) ,George Miller
118,119,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
119,120,3,Mad Max: Fury Road (2015) ,1 more credit
120,121,4,Sicario (2015) ,Taylor Sheridan
,PID,PID_Movie,MovieName,Writer
0,1,1,Brooklyn (2015) ,Nick Hornby
1,2,1,Brooklyn (2015) ,Colm Tóibín
2,3,2,The Big Short (2015) ,Charles Randolph
3,4,2,The Big Short (2015) ,Adam McKay
4,5,2,The Big Short (2015) ,1 more credit
5,6,3,Mad Max: Fury Road (2015) ,George Miller
6,7,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
7,8,3,Mad Max: Fury Road (2015) ,1 more credit
8,9,4,Sicario (2015) ,Taylor Sheridan
,PID,PID_Movie,MovieName,Writer
0,1,1,Brooklyn (2015) ,Nick Hornby
1,2,1,Brooklyn (2015) ,Colm Tóibín
2,3,2,The Big Short (2015) ,Charles Randolph
3,4,2,The Big Short (2015) ,Adam McKay
4,5,2,The Big Short (2015) ,1 more credit
5,6,3,Mad Max: Fury Road (2015) ,George Miller
6,7,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
7,8,3,Mad Max: Fury Road (2015) ,1 more credit
8,9,4,Sicario (2015) ,Taylor Sheridan
9,10,1,Brooklyn (2015) ,Nick Hornby
10,11,1,Brooklyn (2015) ,Colm Tóibín
11,12,2,The Big Short (2015) ,Charles Randolph
12,13,2,The Big Short (2015) ,Adam McKay
13,14,2,The Big Short (2015) ,1 more credit
14,15,3,Mad Max: Fury Road (2015) ,George Miller
15,16,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
16,17,3,Mad Max: Fury Road (2015) ,1 more credit
17,18,4,Sicario (2015) ,Taylor Sheridan
18,19,5,When Marnie Was There (2014) ,Joan G. Robinson
19,20,5,When Marnie Was There (2014) ,Keiko Niwa
20,21,5,When Marnie Was There (2014) ,3 more credits
21,22,6,The Martian (2015) ,Drew Goddard
22,23,6,The Martian (2015) ,Andy Weir
23,24,7,The Revenant (2015) ,Mark L. Smith
24,25,7,The Revenant (2015) ,Alejandro G. Iñárritu
25,26,7,The Revenant (2015) ,1 more credit
26,27,1,Brooklyn (2015) ,Nick Hornby
27,28,1,Brooklyn (2015) ,Colm Tóibín
28,29,2,The Big Short (2015) ,Charles Randolph
29,30,2,The Big Short (2015) ,Adam McKay
30,31,2,The Big Short (2015) ,1 more credit
31,32,3,Mad Max: Fury Road (2015) ,George Miller
32,33,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
33,34,3,Mad Max: Fury Road (2015) ,1 more credit
34,35,4,Sicario (2015) ,Taylor Sheridan
,PID,PID_Movie,MovieName,Writer
0,1,1,Brooklyn (2015) ,Nick Hornby
1,2,1,Brooklyn (2015) ,Colm Tóibín
2,3,2,The Big Short (2015) ,Charles Randolph
3,4,2,The Big Short (2015) ,Adam McKay
4,5,2,The Big Short (2015) ,1 more credit
5,6,3,Mad Max: Fury Road (2015) ,George Miller
6,7,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
7,8,3,Mad Max: Fury Road (2015) ,1 more credit
8,9,4,Sicario (2015) ,Taylor Sheridan
9,10,1,Brooklyn (2015) ,Nick Hornby
10,11,1,Brooklyn (2015) ,Colm Tóibín
11,12,2,The Big Short (2015) ,Charles Randolph
12,13,2,The Big Short (2015) ,Adam McKay
13,14,2,The Big Short (2015) ,1 more credit
14,15,3,Mad Max: Fury Road (2015) ,George Miller
15,16,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
16,17,3,Mad Max: Fury Road (2015) ,1 more credit
17,18,4,Sicario (2015) ,Taylor Sheridan
18,19,5,When Marnie Was There (2014) ,Joan G. Robinson
19,20,5,When Marnie Was There (2014) ,Keiko Niwa
20,21,5,When Marnie Was There (2014) ,3 more credits
21,22,6,The Martian (2015) ,Drew Goddard
22,23,6,The Martian (2015) ,Andy Weir
23,24,7,The Revenant (2015) ,Mark L. Smith
24,25,7,The Revenant (2015) ,Alejandro G. Iñárritu
25,26,7,The Revenant (2015) ,1 more credit
26,27,1,Brooklyn (2015) ,Nick Hornby
27,28,1,Brooklyn (2015) ,Colm Tóibín
28,29,2,The Big Short (2015) ,Charles Randolph
29,30,2,The Big Short (2015) ,Adam McKay
30,31,2,The Big Short (2015) ,1 more credit
31,32,3,Mad Max: Fury Road (2015) ,George Miller
32,33,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
33,34,3,Mad Max: Fury Road (2015) ,1 more credit
34,35,4,Sicario (2015) ,Taylor Sheridan
35,36,1,Brooklyn (2015) ,Nick Hornby
36,37,1,Brooklyn (2015) ,Colm Tóibín
37,38,2,The Big Short (2015) ,Charles Randolph
38,39,2,The Big Short (2015) ,Adam McKay
39,40,2,The Big Short (2015) ,1 more credit
40,41,3,Mad Max: Fury Road (2015) ,George Miller
41,42,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
42,43,3,Mad Max: Fury Road (2015) ,1 more credit
43,44,4,Sicario (2015) ,Taylor Sheridan
,PID,PID_Movie,MovieName,Writer
0,1,1,Brooklyn (2015) ,Nick Hornby
1,2,1,Brooklyn (2015) ,Colm Tóibín
2,3,2,The Big Short (2015) ,Charles Randolph
3,4,2,The Big Short (2015) ,Adam McKay
4,5,2,The Big Short (2015) ,1 more credit
5,6,3,Mad Max: Fury Road (2015) ,George Miller
6,7,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
7,8,3,Mad Max: Fury Road (2015) ,1 more credit
8,9,4,Sicario (2015) ,Taylor Sheridan
9,10,1,Brooklyn (2015) ,Nick Hornby
10,11,1,Brooklyn (2015) ,Colm Tóibín
11,12,2,The Big Short (2015) ,Charles Randolph
12,13,2,The Big Short (2015) ,Adam McKay
13,14,2,The Big Short (2015) ,1 more credit
14,15,3,Mad Max: Fury Road (2015) ,George Miller
15,16,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
16,17,3,Mad Max: Fury Road (2015) ,1 more credit
17,18,4,Sicario (2015) ,Taylor Sheridan
18,19,5,When Marnie Was There (2014) ,Joan G. Robinson
19,20,5,When Marnie Was There (2014) ,Keiko Niwa
20,21,5,When Marnie Was There (2014) ,3 more credits
21,22,6,The Martian (2015) ,Drew Goddard
22,23,6,The Martian (2015) ,Andy Weir
23,24,7,The Revenant (2015) ,Mark L. Smith
24,25,7,The Revenant (2015) ,Alejandro G. Iñárritu
25,26,7,The Revenant (2015) ,1 more credit
26,27,1,Brooklyn (2015) ,Nick Hornby
27,28,1,Brooklyn (2015) ,Colm Tóibín
28,29,2,The Big Short (2015) ,Charles Randolph
29,30,2,The Big Short (2015) ,Adam McKay
30,31,2,The Big Short (2015) ,1 more credit
31,32,3,Mad Max: Fury Road (2015) ,George Miller
32,33,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
33,34,3,Mad Max: Fury Road (2015) ,1 more credit
34,35,4,Sicario (2015) ,Taylor Sheridan
35,36,1,Brooklyn (2015) ,Nick Hornby
36,37,1,Brooklyn (2015) ,Colm Tóibín
37,38,2,The Big Short (2015) ,Charles Randolph
38,39,2,The Big Short (2015) ,Adam McKay
39,40,2,The Big Short (2015) ,1 more credit
40,41,3,Mad Max: Fury Road (2015) ,George Miller
41,42,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
42,43,3,Mad Max: Fury Road (2015) ,1 more credit
43,44,4,Sicario (2015) ,Taylor Sheridan
44,45,1,Brooklyn (2015) ,Nick Hornby
45,46,1,Brooklyn (2015) ,Colm Tóibín
46,47,2,The Big Short (2015) ,Charles Randolph
47,48,2,The Big Short (2015) ,Adam McKay
48,49,2,The Big Short (2015) ,1 more credit
49,50,3,Mad Max: Fury Road (2015) ,George Miller
50,51,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
51,52,3,Mad Max: Fury Road (2015) ,1 more credit
52,53,4,Sicario (2015) ,Taylor Sheridan
